DtCustomer,Education,Marital,Kidhome,Teenhome,Income,MntFishProducts,MntMeatProducts,MntFruits,MntSweetProducts,MntWines,MntGoldProds,NumDealsPurchases,NumCatalogPurchases,NumStorePurchases,NumWebPurchases,NumWebVisitsMonth,Recency,AcceptedCmp1,AcceptedCmp2,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,Complain,Response
27-11-1981 21.14,Masters,Married,0,0,898263,9652,6861,7507,2060,16447,18446,5,13,3,12,12,82,1,1,0,0,1,1,0
27-03-1992 18.54,Professional,Widowed,0,0,1947998,3789,1284,9323,9554,5107,17532,4,10,21,9,21,59,1,1,0,0,0,0,1
26-08-1973 1.51,None,Separated,1,2,1597801,3691,8045,490,1266,8952,16497,13,7,23,6,29,41,1,0,0,1,1,1,0
29-09-2002 9.58,High School,Single,2,1,474237,5134,2454,7012,2630,21103,369,13,4,18,12,9,23,0,1,1,1,1,0,0
26-02-2012 12.12,None,Single,2,0,616904,1160,9654,8432,6332,6532,2035,9,2,11,2,4,63,1,0,1,1,1,0,0
09-07-2010 4.13,Bachelors,Divorced,1,2,1513106,13778,6322,6361,7290,4258,7657,14,9,18,12,13,32,0,1,1,0,1,0,1
24-03-1975 23.54,Professional,Divorced,2,1,1831449,1540,4376,996,9992,14446,10353,1,6,14,2,2,22,1,1,0,0,1,1,1
15-11-1976 15.17,Masters,Separated,1,2,336093,5453,18947,6319,7679,10535,16920,14,9,4,10,20,25,0,0,1,0,1,1,1
09-01-2007 10.42,PhD,Divorced,1,0,1605049,12790,14402,1660,805,2338,10277,13,5,3,9,17,70,1,0,1,0,1,0,1
18-07-1974 18.05,None,Divorced,1,0,1657953,2778,32,1081,8365,23536,12176,9,12,8,6,3,62,0,1,1,0,0,1,1
10-09-2002 6.21,None,Divorced,2,2,1309187,8761,18259,3807,5505,1032,2607,2,0,0,12,27,24,1,0,0,0,1,0,1
30-05-2013 8.07,Bachelors,Widowed,2,2,1047640,1118,7316,2785,506,11863,6633,1,12,8,0,0,35,1,1,0,0,0,1,0
14-01-2001 17.54,None,Widowed,1,0,1391853,14094,16882,1465,4218,4698,3169,8,11,12,4,9,83,0,1,0,0,0,1,1
30-09-1986 7.08,Bachelors,Married,2,2,789129,5497,11917,8228,1859,15917,1078,11,5,20,14,2,11,0,0,1,0,0,1,1
17-11-2010 4.34,Professional,Married,2,1,886792,5034,18643,8567,4631,22715,7265,5,4,20,9,16,3,0,1,0,0,0,1,0
12-11-1970 18.13,None,Married,1,2,744797,7393,9748,3862,2659,13954,809,13,10,10,0,14,97,1,0,1,1,0,0,1
23-06-1996 13.23,PhD,Divorced,0,2,1606222,8616,2745,5830,6743,8487,6560,9,1,18,7,26,7,1,1,1,1,1,0,1
25-02-2010 0.39,None,Divorced,1,1,903011,11542,16387,5003,7889,18846,19011,4,9,21,13,28,98,1,0,1,0,1,1,0
05-08-1970 1.02,Bachelors,Widowed,1,1,1908630,8289,13116,6667,15,8257,9587,7,9,14,2,28,54,0,0,0,0,0,0,0
07-11-2006 6.33,Bachelors,Single,1,1,1608130,6458,18745,4497,8830,18506,3828,10,12,1,1,12,81,0,1,0,1,1,1,0
03-04-2009 7.04,Professional,Separated,1,2,1563219,9325,18523,250,3433,13483,1409,8,14,23,14,27,53,1,0,1,0,0,0,1
23-04-1999 20.39,Professional,Separated,0,0,234331,1831,473,1847,2190,24071,3308,14,12,24,2,19,62,0,0,1,1,0,1,0
22-11-1979 10.23,PhD,Separated,1,0,1086165,7196,3887,7417,1508,17448,6907,6,2,9,14,9,30,0,0,1,1,0,0,1
26-06-2015 7.01,PhD,Single,0,2,1694463,8031,8126,2882,2833,18145,5969,14,14,9,10,14,36,1,1,1,1,1,0,0
20-09-2014 19.27,PhD,Separated,0,0,1445192,12013,4816,5511,5557,10817,139,5,12,19,9,23,36,0,1,0,0,1,1,0
22-08-2004 20.31,None,Separated,0,1,217598,8245,13611,6065,4838,7114,4714,3,12,20,0,3,29,0,0,0,1,0,0,0
16-07-1979 13.02,Masters,Divorced,0,0,1755805,10748,7481,3055,7741,22655,12654,11,1,23,3,4,16,0,0,1,1,0,1,1
15-01-1999 21.32,PhD,Separated,0,2,201873,7561,17069,7822,5925,6050,10241,12,9,10,6,15,65,1,0,0,1,1,0,1
23-03-2005 9.29,Professional,Separated,2,0,596362,1891,6045,7753,1862,10266,3375,11,13,15,10,29,15,0,0,1,0,0,1,0
26-09-2001 17.07,Masters,Married,0,0,1583976,3556,6706,531,1652,18762,6411,7,1,19,14,18,66,1,0,0,1,0,0,1
30-06-1996 22.56,PhD,Divorced,0,1,1358029,6326,1612,7921,6486,7766,17785,6,9,16,4,22,81,0,1,1,0,0,0,1
13-06-1980 6.05,PhD,Widowed,2,1,1276369,12096,763,1243,5905,15790,9914,6,14,1,3,24,33,1,1,1,1,0,1,0
06-01-2001 20.02,High School,Divorced,1,0,489401,4265,530,1672,8768,510,10255,1,8,23,6,13,94,0,0,1,0,1,0,0
12-11-2000 0.58,High School,Separated,2,1,1145231,7064,16456,9676,7646,17291,483,11,9,15,10,0,33,1,1,1,0,0,0,1
21-06-2013 18.55,PhD,Single,2,2,1513335,7779,4044,8690,5995,13977,13146,9,6,3,11,5,75,1,0,0,1,1,1,1
25-10-2021 10.32,High School,Married,2,0,1110548,11048,7186,661,4895,19740,15487,11,9,18,13,28,53,0,0,0,1,0,1,0
07-06-1992 7.36,Professional,Widowed,2,0,1803810,9478,7526,8830,4883,18401,17493,7,12,12,0,8,24,0,0,1,0,1,0,0
15-11-2015 16.26,High School,Divorced,2,2,1464348,1681,219,315,8013,12861,13534,9,8,14,14,5,60,1,1,0,0,0,1,0
06-11-1998 6.39,Bachelors,Married,1,0,847587,12513,12636,6913,5246,4260,8201,3,7,22,8,16,9,0,1,1,1,1,1,1
20-11-2021 10.08,Professional,Widowed,2,1,1514058,12140,18703,1113,8542,11317,8303,13,13,23,13,17,84,1,1,0,1,0,1,0
08-08-1993 8.51,High School,Single,2,0,1808574,2424,11171,4859,986,1534,2036,14,13,21,6,3,23,0,0,1,0,0,1,0
05-08-1997 3.09,Masters,Separated,2,0,1359367,13373,5076,8251,8005,3320,12024,4,5,18,0,6,33,1,0,0,1,0,0,0
09-06-1992 20.48,PhD,Single,1,0,883055,11723,14995,9786,2102,13537,17789,0,0,11,8,27,74,0,0,1,1,1,1,1
10-04-1992 6.26,PhD,Separated,2,0,655245,9787,623,9700,7990,1492,2538,5,3,24,3,25,51,0,1,1,0,0,1,1
06-04-1978 9.25,Masters,Widowed,2,2,1047481,14567,14102,9874,5243,919,3904,1,2,19,1,11,43,0,1,1,1,1,1,1
06-05-1980 2.58,None,Married,2,1,244600,1592,2429,4128,3148,17058,894,0,8,18,11,11,19,0,1,1,1,0,0,1
19-03-2016 1.29,PhD,Widowed,0,0,1096117,7876,9667,6648,6189,4806,14858,14,9,2,12,24,1,1,1,1,0,1,0,1
19-11-2008 9.09,None,Divorced,0,2,1264135,11065,7108,5377,4784,12091,11533,4,13,17,12,24,13,1,0,0,0,1,1,0
14-06-1996 0.10,High School,Single,0,2,624697,4213,8064,6375,6797,22429,3732,14,13,19,10,15,83,0,1,0,1,1,0,1
02-11-1979 11.03,High School,Married,1,1,319767,5493,2773,7645,5471,13478,79,5,5,21,12,19,22,1,0,1,1,0,0,1
08-07-2005 5.58,PhD,Separated,1,0,1848311,2217,13340,1457,3023,16025,16109,12,5,20,3,26,56,0,0,1,0,1,0,0
11-11-2020 14.43,Professional,Widowed,0,1,819161,3897,3484,975,5792,2959,9081,2,6,20,1,24,93,1,1,0,1,0,1,0
11-12-1986 8.07,None,Married,1,1,1819229,864,16528,1597,6132,7370,11974,5,13,19,8,9,70,1,1,1,0,1,0,1
11-07-1977 23.10,Bachelors,Widowed,2,0,1268254,12049,601,2628,1500,4743,13798,12,8,2,14,26,40,0,1,1,1,0,1,0
28-05-1989 0.16,Professional,Single,0,1,1142687,4105,17542,2210,1650,9716,14264,14,5,22,5,9,13,1,1,1,0,1,0,1
05-11-1979 10.20,PhD,Single,2,2,1922587,11825,19115,4032,1903,4291,6811,5,5,7,13,15,10,0,1,1,0,1,1,0
14-04-2016 7.42,PhD,Divorced,2,0,723489,14748,13006,3821,9798,19255,11761,1,10,20,11,24,80,0,0,1,0,1,1,1
01-05-2008 5.56,High School,Widowed,2,1,502485,11176,19148,5533,9684,7133,11821,12,5,10,11,9,80,0,0,0,0,1,1,0
28-12-1970 1.07,Masters,Widowed,0,1,487041,3795,109,5136,5084,21750,17051,14,10,20,4,14,74,0,1,1,0,0,1,0
03-05-2008 16.42,Masters,Single,0,1,568897,13933,7853,8964,5226,4146,14945,14,5,16,0,8,32,0,1,0,0,1,0,1
16-07-2014 5.22,None,Separated,0,1,1706681,329,2092,8836,204,12538,13768,5,3,18,7,27,51,1,0,1,0,0,1,0
14-06-2012 14.45,Professional,Separated,2,2,1468875,12939,4132,2487,3501,11113,2267,1,6,7,3,22,33,1,1,0,1,1,0,0
24-08-1994 12.45,Bachelors,Widowed,0,2,575279,282,19652,3181,8578,2827,10930,6,3,22,8,17,49,0,0,1,1,0,1,1
15-07-1984 21.40,Professional,Divorced,0,0,1345419,10732,3768,962,6876,9740,1730,13,8,18,10,6,55,0,0,0,1,0,1,1
19-12-1987 23.22,High School,Widowed,2,2,1712298,150,16285,4491,7720,15622,12169,3,14,23,7,2,20,0,0,0,0,0,0,0
06-04-1982 8.36,Bachelors,Widowed,2,1,1061336,2031,8478,5986,7468,1231,17355,11,0,18,4,29,18,0,0,0,1,1,0,1
05-06-2018 6.28,Bachelors,Widowed,1,1,619137,9416,4389,4854,7313,22368,12201,3,7,22,5,6,12,1,1,1,1,1,0,1
29-01-1982 13.46,Masters,Widowed,2,2,1608237,104,12389,5287,6346,19502,648,14,13,20,8,12,31,1,0,0,0,0,1,1
13-10-1973 10.08,None,Separated,1,0,1152253,12341,10305,8101,1542,10582,7456,2,4,4,2,8,75,0,1,0,0,1,0,0
29-12-2016 22.45,Masters,Divorced,0,2,1360336,7874,18982,3086,8578,1463,4603,13,9,20,13,13,58,0,1,0,0,0,0,1
08-01-2013 8.55,Bachelors,Separated,1,0,220238,14479,4494,2365,3484,4544,8931,2,4,7,10,17,27,1,1,0,1,0,1,0
03-11-1999 19.24,High School,Married,2,0,1206021,12698,11242,1345,6590,15733,9354,6,5,0,7,12,72,0,1,0,1,1,1,0
17-05-2001 5.54,None,Married,1,0,1398035,1565,12965,5475,5339,18669,10131,5,2,4,14,5,65,1,1,0,1,1,1,0
04-09-2008 0.14,PhD,Married,1,1,1046349,2955,7901,1795,4566,15235,990,1,10,10,11,18,9,1,1,1,1,0,0,0
10-01-1974 1.33,Bachelors,Single,2,1,1687633,7610,15655,5155,5772,13860,9119,12,9,18,6,22,1,1,0,0,0,0,0,1
27-10-2016 15.04,Bachelors,Divorced,1,1,1606571,187,7675,6618,1559,19464,11084,9,9,6,13,28,3,1,0,0,0,1,0,1
30-06-1975 1.46,Bachelors,Separated,0,0,800859,273,17419,4078,2145,1246,12005,5,5,1,11,8,14,1,0,1,1,1,1,0
08-08-2005 3.43,None,Divorced,1,1,1662061,10993,9249,2198,2090,19180,6743,0,4,6,2,1,13,1,1,0,0,0,1,1
31-08-1990 11.05,Bachelors,Married,0,1,1546633,13614,2421,3723,9835,3508,6646,11,8,4,1,5,14,1,0,1,1,0,0,0
14-12-2010 11.46,Bachelors,Separated,0,0,450161,8160,14140,1306,2062,2485,5732,13,9,22,13,10,57,1,1,0,1,1,1,1
15-09-1974 3.49,Bachelors,Single,2,0,1331581,9383,10415,4416,8101,8734,2964,6,7,12,0,7,94,1,0,1,1,1,0,0
28-09-1991 17.00,Bachelors,Widowed,2,0,482384,9404,9711,9676,6555,22695,18607,3,6,18,0,23,40,1,0,0,1,1,1,0
29-04-1972 4.21,PhD,Separated,1,0,1121009,135,12777,7432,3953,18506,11081,9,11,7,11,2,2,1,1,0,0,0,1,0
30-06-2000 18.31,None,Single,1,2,827146,709,17408,2167,8344,9963,19358,3,6,24,4,0,32,0,0,1,1,0,0,1
05-04-2014 6.39,Professional,Separated,2,1,779481,13562,1392,1217,8595,9714,6699,11,8,0,6,22,87,0,1,0,1,0,1,0
03-10-1988 5.02,Masters,Separated,2,0,684988,529,15482,8571,8305,14484,115,12,11,24,12,7,11,1,1,0,1,1,1,1
27-06-1983 1.19,Professional,Divorced,1,0,1904600,12552,17398,4735,2655,21026,8305,13,8,16,10,28,5,1,1,1,1,0,0,1
12-11-1979 16.37,High School,Widowed,0,1,1456837,9630,16130,2229,3378,13161,12783,4,10,13,2,7,81,1,0,0,1,1,0,1
27-07-2006 16.49,None,Married,1,1,1308026,1264,5163,9847,6979,20034,15028,10,4,24,13,14,95,1,1,0,1,1,0,1
15-04-1987 3.54,Masters,Divorced,2,2,1029568,4989,18767,6808,4774,7775,11434,13,12,17,8,7,99,0,1,0,0,1,0,1
11-04-2009 10.58,Masters,Single,2,1,895114,11914,3846,3715,2234,4614,5364,4,3,21,12,4,52,0,0,0,1,1,1,0
31-03-1978 10.49,Masters,Single,2,2,957165,9570,11831,3871,817,17852,18977,12,9,1,9,13,7,1,0,0,0,0,1,0
20-05-2007 15.00,Masters,Married,1,1,1381580,6892,12207,7833,3576,4423,5188,7,13,0,0,18,45,0,0,1,0,0,1,0
15-09-1997 17.00,High School,Married,0,2,1295126,14226,11209,1586,5426,9056,10426,4,11,8,14,22,44,0,1,1,1,0,0,1
11-02-1983 17.16,Masters,Widowed,1,2,1774166,7663,8474,2261,5967,23206,451,14,4,8,8,19,49,1,0,1,1,0,1,0
13-05-1975 6.25,PhD,Widowed,2,1,1778432,6205,10671,1762,8650,11052,2559,2,8,23,12,0,75,0,1,1,1,1,1,1
12-07-2011 16.45,High School,Divorced,0,2,1678114,3205,1521,3662,4696,12996,124,12,0,0,2,14,57,1,0,1,0,1,1,0
31-12-1997 16.23,Professional,Widowed,2,1,1139653,29,5463,8407,8768,19957,19943,9,8,24,1,12,71,0,0,1,1,0,0,1
09-07-2000 6.03,Professional,Married,1,0,1753281,7735,8045,9909,3932,17852,13564,4,5,23,7,7,40,1,1,1,1,0,1,1
27-08-1985 3.17,Bachelors,Married,2,0,1718531,6785,2832,45,3879,24599,18061,0,1,23,11,7,55,0,1,0,1,0,0,0
13-10-2005 21.49,Bachelors,Widowed,1,2,976526,5028,13964,9649,5038,15277,15039,0,9,15,13,25,52,0,1,1,0,0,0,0
28-08-1992 18.05,High School,Single,1,0,820926,5278,17484,5759,9083,664,2539,10,0,6,4,13,36,1,0,1,1,0,0,1
08-04-2003 22.20,Masters,Separated,1,2,1856664,10318,11576,2903,159,23738,13755,12,11,5,5,2,41,0,1,0,0,1,1,1
03-11-2020 19.02,High School,Divorced,1,2,624242,11016,3628,8940,8360,8244,13198,7,3,22,13,21,46,0,0,1,1,1,1,1
06-01-1990 4.30,None,Divorced,0,2,577133,7400,16784,9454,6195,2149,8632,10,12,0,9,1,71,0,0,1,1,1,1,1
15-06-1997 11.43,Professional,Separated,0,1,1969162,7261,16058,3073,4544,20802,18583,1,3,22,13,27,6,0,1,0,1,1,0,1
14-09-1992 20.13,Masters,Divorced,1,0,855196,1154,14624,1379,1875,11262,1508,5,9,0,0,18,78,0,1,0,0,0,1,0
14-08-2010 17.22,PhD,Widowed,0,2,1714095,14075,15847,852,235,16732,13221,12,1,9,7,25,92,1,1,1,0,0,0,1
15-12-2006 21.48,High School,Married,0,0,1601661,7320,7490,3426,5579,10174,4433,14,6,14,1,0,45,0,1,1,1,0,1,0
02-03-2006 5.47,Professional,Widowed,2,0,1188083,3559,15016,7175,6100,13514,19921,0,13,13,7,6,65,1,0,0,1,1,0,1
26-03-2013 12.54,Professional,Widowed,0,2,1923664,298,10468,9703,9364,17351,9033,11,13,1,11,18,11,0,0,0,0,0,1,1
30-06-2017 11.05,PhD,Married,0,2,329285,1474,4536,6764,4212,5894,7858,3,3,3,12,27,47,0,1,0,0,0,1,1
05-07-1972 12.02,None,Separated,1,0,467677,5314,15238,8438,4440,6104,9260,6,8,18,3,16,48,1,1,0,0,1,0,0
29-11-2018 14.08,PhD,Separated,2,2,679828,727,1526,7376,498,12740,4282,5,5,4,7,17,66,1,0,0,1,1,1,1
04-04-1988 11.17,None,Separated,2,0,568551,614,8751,4622,1478,9098,8208,6,1,6,1,26,85,1,0,0,0,0,1,1
02-02-1972 19.09,High School,Separated,0,1,530358,12104,3702,2242,4767,21442,14361,2,12,9,11,25,78,1,0,0,1,1,0,1
24-01-1991 0.47,None,Separated,0,2,1201339,8316,11960,1556,2361,1778,10501,10,10,18,11,1,61,0,1,0,1,1,0,0
21-11-1999 16.34,Bachelors,Married,0,2,507431,5730,13063,3989,405,8352,6883,0,13,7,12,11,85,0,1,0,0,0,1,0
26-11-2014 12.25,None,Widowed,1,0,1468148,9545,16558,37,2690,16975,12412,10,11,5,6,17,72,1,0,1,1,0,0,1
27-05-1972 15.21,High School,Widowed,0,1,1596756,8734,11699,9031,847,19261,7536,11,3,11,4,2,88,0,1,1,0,1,1,0
09-02-1999 3.31,None,Separated,0,2,1880635,12802,17297,153,9600,23502,839,14,6,2,3,25,28,1,0,0,0,1,0,1
14-12-2002 20.35,PhD,Divorced,0,1,1988874,12720,5136,3392,812,7948,604,1,8,9,10,28,92,1,1,1,0,0,1,0
04-04-2019 4.30,PhD,Separated,2,2,600567,7057,16813,6579,5421,9555,1663,5,5,3,9,12,78,1,0,0,0,1,1,1
25-08-2015 23.32,None,Widowed,0,0,1273611,1436,11794,7252,9864,2073,14018,3,6,16,1,14,11,1,1,0,0,0,1,0
08-02-2009 10.11,Bachelors,Widowed,0,0,1069516,8595,18064,3032,4770,6733,14598,10,11,14,1,20,17,0,1,0,0,1,0,1
31-08-2003 3.27,PhD,Widowed,1,2,824241,10737,553,3366,6196,1091,16534,11,1,22,12,13,75,0,0,1,0,0,1,0
15-03-1991 16.57,PhD,Single,2,0,958485,2573,15167,6994,4691,10219,15344,3,6,4,11,26,72,1,0,0,1,0,1,0
01-02-1980 11.58,Bachelors,Widowed,2,1,855505,9072,2116,9072,1361,4942,4080,14,13,23,5,27,63,0,0,0,1,1,1,1
30-08-2004 9.20,Masters,Married,2,1,478589,9284,9697,1131,2742,14102,17521,5,2,3,12,0,82,0,0,1,1,0,1,1
25-04-1998 16.15,Masters,Divorced,2,0,1859713,12460,11071,1659,957,20714,17574,2,0,19,2,5,28,1,1,1,1,0,1,1
24-01-1997 21.15,Professional,Separated,1,0,791824,12938,16550,4645,3864,10035,19489,5,1,20,9,12,22,1,0,1,1,0,0,1
10-10-1993 7.56,Masters,Single,0,0,406821,8904,6742,8228,9121,4895,19359,5,8,16,5,22,38,1,1,1,1,1,1,1
06-10-2016 5.13,Bachelors,Divorced,1,0,1794780,13321,4038,2759,5631,20754,10352,3,0,5,6,9,96,0,0,0,1,0,0,0
18-05-2011 23.57,Bachelors,Separated,2,2,223152,13557,11038,8195,1155,3120,18765,8,6,13,1,24,25,0,0,1,1,1,1,1
02-02-1980 14.06,PhD,Single,0,1,220066,6282,14658,5068,1996,5509,2406,3,2,3,11,21,19,0,0,0,1,0,1,0
16-12-1998 19.40,Bachelors,Single,0,0,317851,10178,6156,1621,9432,13963,2128,13,8,24,3,10,93,1,1,0,1,1,1,1
04-04-1978 11.37,Bachelors,Divorced,0,0,1019882,6519,7453,8578,804,1731,12534,12,9,12,11,14,86,1,1,1,1,0,1,1
09-09-2018 15.01,High School,Divorced,0,0,749080,3762,19003,4171,3369,5754,13812,3,4,0,7,1,6,0,1,1,1,1,0,1
15-05-2011 0.00,PhD,Widowed,0,0,1378479,4660,2323,1217,9476,18380,17601,0,4,8,0,2,63,1,0,0,0,1,1,1
24-12-1982 12.30,None,Separated,1,0,575502,5062,9588,9910,6778,20359,6099,8,8,21,4,28,52,0,0,1,0,0,0,1
05-06-1972 22.44,Professional,Separated,1,2,1181623,7092,16119,3532,1620,888,951,0,2,24,9,15,96,0,1,1,0,0,0,1
26-02-1996 10.30,Bachelors,Married,0,2,1783684,1701,9492,6991,3718,3522,3187,10,2,4,7,7,66,0,1,0,1,1,1,0
10-01-1988 21.38,Masters,Divorced,1,2,221745,13888,19000,2583,5585,6841,7439,13,7,7,14,29,89,1,1,1,1,1,1,1
12-07-2020 23.53,Masters,Single,0,2,739574,13849,8990,7356,5151,4795,19454,12,10,7,8,25,53,1,0,1,1,1,0,0
28-02-1973 21.34,Professional,Separated,0,0,1356398,9117,10991,5628,5332,12457,4011,10,1,17,8,7,10,0,0,0,1,1,0,0
18-11-2007 4.10,Bachelors,Divorced,2,1,352003,648,1547,2915,4742,20507,9612,13,4,2,2,9,45,1,1,0,0,1,0,1
01-07-1976 19.46,Bachelors,Married,0,2,1239190,12518,19431,1577,3653,6808,14204,10,8,6,2,15,67,0,0,1,0,0,0,1
06-01-1988 17.09,Professional,Single,0,2,1956496,4870,6581,7171,2540,23110,6387,11,8,4,10,2,87,1,1,1,0,1,0,0
24-01-1999 12.14,None,Widowed,1,1,1921422,14670,12623,3559,144,18985,10109,14,9,0,8,19,26,0,1,0,0,0,0,0
30-12-1988 11.54,None,Divorced,0,2,686769,1786,6329,7661,7281,14126,644,14,11,3,0,8,57,0,1,1,1,0,0,1
04-10-2015 3.40,Masters,Married,0,0,1210243,8497,16000,1861,9228,4585,7493,7,8,5,11,23,86,1,0,0,1,0,0,1
10-11-2020 0.56,Masters,Divorced,1,1,1120239,13005,13509,9437,5671,12356,2528,7,10,19,2,0,83,0,0,1,1,1,1,1
20-01-2002 1.03,None,Divorced,2,1,748177,13225,13546,5842,8582,18997,11725,12,10,18,10,12,49,0,1,1,0,1,1,1
22-08-1978 7.53,Professional,Widowed,2,0,1766422,5090,11560,6363,4053,19540,18553,14,12,10,4,5,16,0,1,0,0,1,0,0
05-04-2017 15.55,Professional,Divorced,2,0,492645,11246,10410,8510,5290,13226,10144,4,11,16,10,29,39,0,0,0,1,1,1,0
11-09-2005 22.51,Masters,Divorced,2,2,879502,1373,2998,1155,5751,13550,14240,12,11,20,10,29,88,0,1,1,1,1,0,0
09-07-1976 0.17,Professional,Single,2,0,379369,6337,16040,9487,8338,20704,6979,5,12,12,5,4,87,1,1,1,1,0,0,0
27-08-2005 7.56,High School,Separated,0,2,602032,3128,4856,4223,3768,19204,18188,4,0,8,14,13,7,1,1,1,1,1,1,1
24-07-1997 5.45,Professional,Widowed,1,0,1734305,12038,14393,4099,8289,6657,7562,7,6,3,13,6,55,1,1,1,0,1,0,1
06-07-2004 12.00,None,Widowed,1,2,1564467,13938,11305,5581,1852,18259,4190,6,11,3,11,16,93,1,0,0,1,0,1,0
20-09-2001 14.49,Bachelors,Married,2,0,951236,8952,16075,4726,3581,19290,5688,10,12,21,5,22,96,1,1,0,0,1,1,1
16-08-1989 15.43,High School,Married,1,2,1909827,14125,11036,3751,3943,23057,938,8,3,9,8,8,37,1,1,1,0,1,1,0
11-09-2010 3.25,Bachelors,Separated,1,1,1848554,8871,5044,421,1913,15245,8899,0,12,1,2,27,80,1,0,1,1,1,1,1
11-06-1990 13.18,Professional,Single,2,1,1157858,4486,6497,9088,2457,5144,5281,10,3,8,4,24,42,1,1,0,1,0,0,0
10-02-1972 2.09,Masters,Single,0,1,1083064,8908,18953,5729,2911,13549,14699,1,7,3,3,12,44,0,0,0,0,0,0,1
21-01-1980 20.36,Bachelors,Single,2,0,236196,13756,15107,4586,6373,5969,16899,5,9,12,7,9,81,0,1,1,1,1,0,0
14-06-1978 13.23,Masters,Widowed,1,2,981148,7805,6750,1059,4697,5232,5988,2,8,16,3,17,36,0,0,1,1,1,0,1
10-11-1976 2.04,PhD,Single,0,1,1782775,8385,19403,4928,6390,5383,4889,13,10,8,11,15,37,0,1,0,0,1,0,1
08-08-2015 14.44,Masters,Divorced,1,0,1983180,12069,16221,9774,4736,16057,9826,7,5,13,12,0,77,1,0,0,0,1,0,1
27-11-1999 2.24,Masters,Single,2,1,1826599,11070,15983,6529,1378,9612,1336,3,14,20,8,17,81,1,1,0,1,0,0,0
30-08-1976 4.21,Bachelors,Single,2,2,1444364,10168,5904,9390,7642,15736,11200,1,11,10,13,5,6,1,1,0,1,1,0,1
06-10-1971 6.21,Masters,Widowed,2,1,1891078,474,15632,3048,5078,22705,18539,12,5,18,3,1,72,1,0,0,0,0,0,0
04-07-1985 5.09,Professional,Widowed,1,1,654877,2235,4767,7732,9485,15813,18957,5,6,22,4,10,28,0,0,1,1,0,0,0
10-07-1989 6.52,PhD,Divorced,1,2,1961736,11358,2617,3644,9724,16634,8451,4,2,16,10,28,79,1,0,1,0,0,0,0
02-08-1971 23.50,Masters,Divorced,1,0,440665,12493,2347,9632,2776,21463,1768,0,9,0,7,25,9,0,1,1,1,0,1,0
04-06-1993 9.37,Professional,Single,1,0,673625,6383,2433,8062,2946,23240,11857,5,6,16,6,18,51,0,1,1,1,0,1,1
26-05-1978 10.55,Masters,Divorced,0,0,1307222,4623,15567,2765,1139,4941,14598,14,3,7,6,20,83,1,0,1,1,1,1,1
26-08-1983 20.51,Professional,Married,2,1,253253,14898,8005,3329,1660,9108,3394,3,5,12,2,18,67,1,0,0,1,0,0,1
17-03-1990 21.52,None,Separated,1,1,1343155,12093,1979,8464,9372,7399,8994,1,3,20,11,20,7,1,1,0,0,0,1,1
11-05-1995 20.15,High School,Married,1,2,909427,1176,517,4187,7725,5744,13900,1,3,20,0,19,41,0,0,0,0,0,1,1
23-09-1972 15.47,None,Divorced,0,2,367048,8060,2833,6659,3391,1739,1489,12,8,0,3,22,71,1,0,0,0,1,0,1
27-09-2002 4.49,PhD,Widowed,2,2,1405974,7853,6815,4884,7323,10713,5655,6,4,23,2,11,82,1,0,1,1,1,1,0
28-12-2019 13.07,High School,Divorced,2,0,1969495,12658,17160,8152,4162,8948,4776,1,6,10,0,24,63,1,0,1,0,0,0,0
03-02-1976 1.36,PhD,Single,0,2,209813,2886,887,9246,2488,11341,11855,7,3,18,8,7,42,0,0,0,0,0,0,0
13-10-2012 14.39,Masters,Widowed,2,1,618299,11414,15450,5231,9297,8897,5923,10,13,11,10,21,21,1,0,0,0,0,1,0
22-11-1987 13.08,High School,Married,0,0,1818801,2322,4028,2835,6704,19973,12958,12,4,10,2,8,3,1,0,1,1,0,0,0
12-09-2017 23.28,Bachelors,Divorced,2,2,1098475,494,4879,2797,1656,10947,13609,3,7,11,8,20,11,1,0,1,1,1,1,1
01-11-1973 21.55,Professional,Widowed,0,2,1957996,2384,12871,7046,7941,11004,7399,13,8,7,2,5,75,1,1,0,0,1,0,1
27-10-2004 3.27,Masters,Single,2,1,1519404,1340,8635,7651,1528,8720,15997,7,4,6,2,27,53,1,0,1,1,0,1,0
19-02-1998 19.57,High School,Single,2,1,658833,11704,1061,2174,4094,878,10930,0,2,23,13,25,4,0,0,1,1,1,1,1
17-11-2022 7.41,PhD,Single,1,1,839343,8202,18891,9927,146,20448,7000,1,14,23,4,25,88,0,1,1,0,0,1,1
29-05-2002 2.57,None,Single,2,1,1267931,5968,10437,498,4241,7252,6616,11,0,0,10,13,57,1,1,1,0,0,0,0
12-07-1972 4.23,Professional,Divorced,2,1,747667,5164,4474,1808,7108,22955,7785,7,5,0,14,20,99,0,1,1,0,0,1,1
30-05-1993 8.49,Bachelors,Divorced,1,1,968601,7087,6320,7276,6241,23148,4958,8,5,8,7,16,50,0,1,0,1,1,1,1
26-09-1973 14.17,Professional,Widowed,2,0,1136113,10339,15185,808,9318,6369,5993,11,4,22,14,23,88,0,0,0,1,1,1,1
14-07-2008 3.41,High School,Widowed,0,2,1099049,9082,6244,7324,361,14848,11953,13,9,3,5,18,50,1,0,1,1,0,0,0
